"","dhs_id","site_id","site_name","latitude","longitude","rural_urban","country","country_id","continent_id","month_start","year_start","month_end","year_end","lower_age","upper_age","examined","positive","pr","species","method","rdt_type","pcr_type","malaria_metrics_available","location_available","permissions_info","citation1","citation2","citation3"
"12","",12668,"Namasenge Primary School",-0.3404,32.4898,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,4,12,16,6,0.375,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"13","",17078,"Kaazi Primary School",-0.4028,32.4043,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,6,15,16,2,0.125,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"15","",20107,"Mutungo 6 (Nakawa Division)",0.3255,32.6364,"URBAN","Uganda","UGA","Africa",5,1992,5,1992,0,99,33,3,0.0909,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"16","",9844,"Mbagane",0.7,30.351,"UNKNOWN","Uganda","UGA","Africa",7,1992,7,1992,0,99,50,6.75,0.135,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> . . ","",NA
"17","",12324,"Kasese road",0.381,30.3398,"UNKNOWN","Uganda","UGA","Africa",6,1993,6,1993,0,99,50,6,0.12,"P. falciparum","Microscopy","",NA,"true","true","","Kilian, A.H.D. (1995). <i>Malaria control in Kabarole and Bundibugyo Districts-Western Uganda. International Support Programme for Malaria Control in the Framework of PHL.</i> 14.15.3.95. Munich. University of Munich and German Agency for Technical Co-operation (GTZ). 1-70","",NA
"18","",16112,"Ntabago",0.3667,30.25,"UNKNOWN","Uganda","UGA","Africa",7,1992,7,1992,0,99,50,3.95,0.079,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> . . ","",NA
"19","",1120,"Kibanga Primary School",-0.2205,32.0775,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,13,16,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"20","",6193,"Buheesi",0.599,30.198,"UNKNOWN","Uganda","UGA","Africa",7,1992,7,1992,0,99,50,3.5,0.07,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> . . ","",NA
"21","",19217,"Katosi R/C Primary School",0.359,32.8901,"RURAL","Uganda","UGA","Africa",7,2006,8,2006,5,15,66,37,0.5606,"P. falciparum","Microscopy","",NA,"true","true","","Kabatereine, N, . (2006) personal communication.","Brooker, S, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b>Epidemiology of <i>Plasmodium</i>-helminth coinfection in contrasting transmission settings across East Africa. Journal of Infectious Diseases (in press).</b> <i>UNKNOWN</i>, <b>0</b>(0):0",NA
"24","",11749,"Kaziru Primary School",-0.341,31.9812,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,6,14,16,11,0.6875,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"25","",20580,"Wayasi Primary School",-0.1763,33.9404,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,55,56,31,0.5536,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"26","",18137,"Kisuku Primary School",-0.5008,31.8373,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,12,16,11,0.6875,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"27","",16567,"Biisa Primary School",0.1791,33.767,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,3,15,59,35,0.5932,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"28","",3462,"Temego",1.736,32.393,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,60,24,0.4,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"29","",19237,"Butansi",0.917,33.081,"UNKNOWN","Uganda","UGA","Africa",6,1994,6,1994,1,14,14,6,0.4286,"P. falciparum","Microscopy","",NA,"true","true","","Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ","",NA
"30","",18018,"Lambu Primary School",-0.3078,32.039,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,6,13,15,10,0.6667,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"31","",17064,"Tufnell Drive (Kawempa Division)",0.3399,32.5823,"URBAN","Uganda","UGA","Africa",5,1992,5,1992,0,99,26,5,0.1923,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"32","",2207,"Agwiciri",2.1333,32.75,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,72,38,0.5278,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"33","",6083,"Masitale",0.55,30.2167,"UNKNOWN","Uganda","UGA","Africa",7,1992,7,1992,0,99,50,9.3,0.186,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> . . ","",NA
"34","",3575,"Busowa",0.598,33.699,"UNKNOWN","Uganda","UGA","Africa",12,1993,12,1993,1,12,25,19,0.76,"P. falciparum","Microscopy","",NA,"true","true","","Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ","",NA
"35","",20370,"Ochuloi Primary School",1.9241,33.5043,"UNKNOWN","Uganda","UGA","Africa",9,2009,9,2009,7,16,98,63,0.6429,"P. falciparum","Microscopy","",NA,"true","true","","Talisuna, A., . (2009) personal communication.","",NA
"36","",14222,"Acholpii",2.76,32.965,"RURAL","Uganda","UGA","Africa",6,2001,6,2001,0.5,5,225,135,0.6,"P. falciparum","Microscopy","",NA,"true","true","","Seal, A.J., Creeke, P.I., Mirghani, Z., Abdalla, F., McBurney, R.P., Pratt, L.S., Brookes, D., Ruth, L.J. and Marchand, E. (2005).  <b>Iron and vitamin A deficiency in long-term African refugees.</b> <i>The Journal of Nutrition</i>, <b>135</b>(4):808-13","",NA
"37","",19567,"Cheptapoyo",1.6503,34.98,"UNKNOWN","Uganda","UGA","Africa",6,2006,9,2006,9,20,8,4,0.5,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52","",NA
"38","",2823,"Isegero",0.65,33.7294,"UNKNOWN","Uganda","UGA","Africa",4,1994,4,1994,3,13,16,8,0.5,"P. falciparum","Microscopy","",NA,"true","true","","Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ","",NA
"39","",8269,"Nsambya Central (Makindy Division)",0.3031,32.5903,"URBAN","Uganda","UGA","Africa",5,1992,5,1992,0,99,18,3,0.1667,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"40","",9308,"Kisojo",0.533,30.733,"UNKNOWN","Uganda","UGA","Africa",6,1993,6,1993,0,99,50,10.15,0.203,"P. falciparum","Microscopy","",NA,"true","true","","Kilian, A.H.D. (1995). <i>Malaria control in Kabarole and Bundibugyo Districts-Western Uganda. International Support Programme for Malaria Control in the Framework of PHL.</i> 14.15.3.95. Munich. University of Munich and German Agency for Technical Co-operation (GTZ). 1-70","",NA
"41","",8308,"Kisima 2 Primary School",0.4152,33.266,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,4,16,55,33,0.6,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"42","",246,"Malembo Primary School",-0.7038,31.7546,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,12,14,5,0.3571,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"43","",22446,"Teabulo",2.4448,32.7269,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,53,22,0.4151,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"44","",21573,"Mutambala Primary School",-0.3234,32.1495,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,17,14,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"45","",16612,"Nyarukuni",0.4367,31.0857,"UNKNOWN","Uganda","UGA","Africa",6,1993,6,1993,0,99,50,5.75,0.115,"P. falciparum","Microscopy","",NA,"true","true","","Kilian, A.H.D. (1995). <i>Malaria control in Kabarole and Bundibugyo Districts-Western Uganda. International Support Programme for Malaria Control in the Framework of PHL.</i> 14.15.3.95. Munich. University of Munich and German Agency for Technical Co-operation (GTZ). 1-70","",NA
"46","",1097,"Kamuwunga Primary School",-0.1262,31.9392,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,14,16,6,0.375,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"47","",19322,"Kalalaka Primary School",1.1161,33.5567,"UNKNOWN","Uganda","UGA","Africa",9,2009,9,2009,7,17,99,61,0.6162,"P. falciparum","Microscopy","",NA,"true","true","","Talisuna, A., . (2009) personal communication.","",NA
"48","",19200,"Kitumba",0.65,30.3,"UNKNOWN","Uganda","UGA","Africa",7,1992,7,1992,0,99,50,8.6,0.172,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Not found in the legacy system.</i> . . ","",NA
"50","",9686,"Busaiga Primary School",0.7405,30.2665,"RURAL","Uganda","UGA","Africa",7,2006,8,2006,2,15,65,31,0.4769,"P. falciparum","Microscopy","",NA,"true","true","","Kabatereine, N, . (2006) personal communication.","Brooker, S, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b>Epidemiology of <i>Plasmodium</i>-helminth coinfection in contrasting transmission settings across East Africa. Journal of Infectious Diseases (in press).</b> <i>UNKNOWN</i>, <b>0</b>(0):0",NA
"51","",10332,"Masolya Primary School",-0.0446,33.6168,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,35,59,19,0.322,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"52","",10511,"Akorikeya",2.0604,34.9348,"UNKNOWN","Uganda","UGA","Africa",6,2006,9,2006,24,26,2,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52","",NA
"53","",10800,"Kobolwa Primary School",1.0481,33.7987,"UNKNOWN","Uganda","UGA","Africa",9,2009,9,2009,7,16,95,65,0.6842,"P. falciparum","Microscopy","",NA,"true","true","","Talisuna, A., . (2009) personal communication.","",NA
"54","",18930,"Idor",1.9246,32.5855,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,38,13,0.3421,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"55","",20141,"Siamulala Primary School",-0.1658,33.9153,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,14,53,19,0.3585,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"56","",17750,"Kalulu",1.0515,33.5202,"UNKNOWN","Uganda","UGA","Africa",9,1994,9,1994,2,12,9,5,0.5556,"P. falciparum","Microscopy","",NA,"true","true","","Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ","",NA
"57","",14220,"Makindye",0.267,32.574,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,121,43,0.3554,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"58","",6842,"Ntinda 17 (Nakawa Division)",0.351,32.6174,"URBAN","Uganda","UGA","Africa",5,1992,5,1992,0,99,16,3,0.1875,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"59","",6491,"Jaguzi Primary School",0.1409,33.5502,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,14,52,20,0.3846,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"60","",18523,"Bungo Primary School",-0.2299,32.1431,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,18,15,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"61","",5405,"Abim Centre",2.425,32.724,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,80,41,0.5125,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"63","",8531,"Bulumwaki",0.734,33.466,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,1,9,29,4,0.1379,"P. falciparum","Microscopy","",NA,"true","true","","Okia, M. (1996). <i>Not found in the legacy system.</i> . Jinja. Ministry of Health. ","",NA
"64","",3863,"Kamutenge Primary School",-0.0706,32.1867,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,15,40,14,0.35,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"65","",21650,"Kijogobya",0.2797,31.0365,"UNKNOWN","Uganda","UGA","Africa",6,1993,6,1993,0,99,50,4.85,0.097,"P. falciparum","Microscopy","",NA,"true","true","","Kilian, A.H.D. (1995). <i>Malaria control in Kabarole and Bundibugyo Districts-Western Uganda. International Support Programme for Malaria Control in the Framework of PHL.</i> 14.15.3.95. Munich. University of Munich and German Agency for Technical Co-operation (GTZ). 1-70","",NA
"66","",19200,"Kitumba",0.65,30.3,"UNKNOWN","Uganda","UGA","Africa",6,1993,6,1993,0,99,50,8.6,0.172,"P. falciparum","Microscopy","",NA,"true","true","","Kilian, A.H.D. (1995). <i>Malaria control in Kabarole and Bundibugyo Districts-Western Uganda. International Support Programme for Malaria Control in the Framework of PHL.</i> 14.15.3.95. Munich. University of Munich and German Agency for Technical Co-operation (GTZ). 1-70","",NA
"67","",17860,"Abebe",1.9066,32.681,"UNKNOWN","Uganda","UGA","Africa",5,1992,5,1992,0,14,39,25,0.641,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"68","",9130,"Nabugabo Primary School",-0.3426,31.8731,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,12,15,14,0.9333,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
"69","",9552,"Loroo",2.2086,34.8966,"UNKNOWN","Uganda","UGA","Africa",6,2006,9,2006,11,14,2,0,0,"P. falciparum","RDT","Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025",NA,"true","true","","Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52","",NA
"70","",2538,"6th Street (Kawempa Division)",0.3149,32.5672,"URBAN","Uganda","UGA","Africa",5,1992,5,1992,0,99,24,8,0.3333,"P. falciparum","Microscopy","",NA,"true","true",""," (1992). <i>Malaria situation analysis in Apac, Kabarole, Kampala and Rukingiri Districts: January to May 1992.</i> 696. Kampala. Communicable Diseases Control Division, Ministry of Health, Uganda/UNICEF/WHO. 1-87","",NA
"71","",14206,"Kakira Sugar Estate",0.5,33.282,"RURAL","Uganda","UGA","Africa",10,1994,10,1994,1,10,575,213,0.3704,"P. falciparum","Microscopy","",NA,"true","true",""," (1994). <i>Not found in the legacy system.</i> . . ","",NA
"72","",1239,"Kasenyi Primary School",-0.3053,32.2376,"UNKNOWN","Uganda","UGA","Africa",1,2010,3,2010,5,11,15,0,0,"P. falciparum","Microscopy","",NA,"true","true","","Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0","",NA
